method,eta0,alpha,penalty,class_weight,val_pr_auc,test_pr_auc,runtime_s,seed,fold
bayesian_opt,0.006932432173673797,1.081171678899547e-07,l2,,0.2033,,2.648,42,train_val_split
bayesian_opt,0.0010874506713363934,1.675411612577998e-05,l1,,0.2032,,2.634,42,train_val_split
bayesian_opt,0.0071870401492974785,1.4546194934380984e-07,l2,,0.2032,,2.6204,42,train_val_split
bayesian_opt,0.0010271536832435143,3.345367599806256e-07,l2,,0.2032,,2.2417,42,train_val_split
bayesian_opt,0.0010177863147059244,5.832136013680299e-06,l1,,0.2032,,2.9489,42,train_val_split
bayesian_opt,0.0006358358856676254,0.0003470266988650413,l2,,0.2019,,1.2516,42,train_val_split
bayesian_opt,0.0001329291894316216,0.005669849511478858,l1,,0.2013,,2.401,42,train_val_split
bayesian_opt,0.00043664735929796326,8.399864445957497e-07,l1,,0.2009,,1.5723,42,train_val_split
bayesian_opt,0.009929277114318673,5.401528108295939e-07,l2,,0.2008,,2.6266,42,train_val_split
bayesian_opt,6.963114377829287e-05,5.1698794422985435e-05,l2,,0.1999,,2.4474,42,train_val_split
bayesian_opt,8.17949947521167e-05,4.205156450913872e-05,l1,,0.199,,1.5741,42,train_val_split
bayesian_opt,0.00021361379333985475,0.0001943447984113867,l1,,0.1974,,1.9315,42,train_val_split
bayesian_opt,1.0388823104027935e-05,0.0011948328168545441,l2,,0.1924,,1.4979,42,train_val_split
bayesian_opt,0.004162865108406667,5.257869025025093e-06,l2,,0.1702,,4.5429,42,train_val_split
bayesian_opt,2.32335035153901e-05,2.9914693021302195e-05,l2,,0.1665,,3.0093,42,train_val_split
bayesian_opt,0.00023345864076016249,0.0008431013932082463,l2,,0.1453,,1.8846,42,train_val_split
bayesian_opt,1.8427970406864546e-05,9.548041810464165e-07,l2,,0.1153,,3.6165,42,train_val_split
bayesian_opt,1.5673095467235405e-05,0.005551721685244726,l1,,0.1114,,4.394,42,train_val_split
halving_grid,0.003,1e-05,l1,,0.2062,,,42,predefined_split
halving_grid,0.003,1e-05,l1,,0.2062,,,42,predefined_split
halving_grid,0.003,1e-05,l1,,0.2062,,,42,predefined_split
halving_grid,0.003,1e-06,l1,,0.205,,,42,predefined_split
halving_grid,0.003,1e-06,l1,,0.205,,,42,predefined_split
halving_grid,0.003,1e-06,l1,,0.205,,,42,predefined_split
halving_grid,0.003,1e-06,l2,,0.2049,,,42,predefined_split
halving_grid,0.003,1e-06,l2,,0.2049,,,42,predefined_split
halving_grid,0.003,1e-06,l2,,0.2049,,,42,predefined_split
halving_grid,0.003,1e-05,l2,,0.2049,,,42,predefined_split
halving_grid,0.003,1e-05,l2,,0.2049,,,42,predefined_split
halving_grid,0.003,1e-05,l2,,0.2049,,,42,predefined_split
halving_grid,0.003,0.0001,l2,,0.2049,,,42,predefined_split
halving_grid,0.003,0.0001,l2,,0.2049,,,42,predefined_split
halving_grid,0.003,0.0001,l2,,0.2049,,,42,predefined_split
halving_grid,0.003,0.0001,l1,,0.2047,,,42,predefined_split
halving_grid,0.003,0.0001,l1,,0.2047,,,42,predefined_split
halving_grid,0.003,0.0001,l1,,0.2047,,,42,predefined_split
halving_grid,0.01,0.0001,l1,,0.2043,,,42,predefined_split
halving_grid,0.01,0.0001,l1,,0.2043,,,42,predefined_split
halving_grid,0.01,0.0001,l1,,0.2043,,,42,predefined_split
halving_grid,0.003,0.001,l2,,0.2042,,,42,predefined_split
halving_grid,0.003,0.001,l2,,0.2042,,,42,predefined_split
halving_grid,0.003,0.001,l2,,0.2042,,,42,predefined_split
halving_grid,0.001,1e-06,l2,,0.2033,,,42,predefined_split
halving_grid,0.001,1e-06,l2,,0.2033,,,42,predefined_split
halving_grid,0.001,1e-06,l2,,0.2033,,,42,predefined_split
halving_grid,0.001,1e-05,l2,,0.2033,,,42,predefined_split
halving_grid,0.001,1e-05,l2,,0.2033,,,42,predefined_split
halving_grid,0.001,1e-06,l1,,0.2033,,,42,predefined_split
halving_grid,0.001,1e-06,l1,,0.2033,,,42,predefined_split
halving_grid,0.001,0.0001,l2,,0.2033,,,42,predefined_split
halving_grid,0.001,0.0001,l2,,0.2033,,,42,predefined_split
halving_grid,0.001,1e-05,l1,,0.2031,,,42,predefined_split
halving_grid,0.001,1e-05,l1,,0.2031,,,42,predefined_split
halving_grid,0.001,0.001,l2,,0.203,,,42,predefined_split
halving_grid,0.001,0.001,l2,,0.203,,,42,predefined_split
halving_grid,0.0003,1e-06,l2,balanced,0.2018,,,42,predefined_split
halving_grid,0.0003,1e-06,l2,balanced,0.2018,,,42,predefined_split
halving_grid,0.0003,1e-05,l2,balanced,0.2018,,,42,predefined_split
halving_grid,0.0003,1e-05,l2,balanced,0.2018,,,42,predefined_split
halving_grid,0.0003,1e-06,l1,balanced,0.2018,,,42,predefined_split
halving_grid,0.0003,1e-06,l1,balanced,0.2018,,,42,predefined_split
halving_grid,0.001,0.0001,l1,,0.2018,,,42,predefined_split
halving_grid,0.001,0.0001,l1,,0.2018,,,42,predefined_split
halving_grid,0.0003,0.0001,l2,balanced,0.2018,,,42,predefined_split
halving_grid,0.0003,0.0001,l2,balanced,0.2018,,,42,predefined_split
